run,tag,step,value
model_602,Episode_Reward/ang_vel_z_l2,520,-0.0003901343734469265
model_602,Episode_Reward/ang_vel_z_l2,521,-0.00036306874244473875
model_602,Episode_Reward/ang_vel_z_l2,522,-0.00038666327600367367
model_602,Episode_Reward/ang_vel_z_l2,523,-0.0003508854715619236
model_602,Episode_Reward/ang_vel_z_l2,524,-0.00036233701393939555
model_602,Episode_Reward/ang_vel_z_l2,525,-0.00038517446955665946
model_602,Episode_Reward/ang_vel_z_l2,526,-0.00037848082138225436
model_602,Episode_Reward/ang_vel_z_l2,527,-0.00037125241942703724
model_602,Episode_Reward/ang_vel_z_l2,528,-0.00039223162457346916
model_602,Episode_Reward/ang_vel_z_l2,529,-0.00035276354174129665
model_602,Episode_Reward/ang_vel_z_l2,530,-0.0003923581098206341
model_602,Episode_Reward/ang_vel_z_l2,531,-0.0004035383171867579
model_602,Episode_Reward/ang_vel_z_l2,532,-0.0004142507677897811
model_602,Episode_Reward/ang_vel_z_l2,533,-0.0004069507122039795
model_602,Episode_Reward/ang_vel_z_l2,534,-0.00044029904529452324
model_602,Episode_Reward/ang_vel_z_l2,535,-0.00045397510984912515
model_602,Episode_Reward/ang_vel_z_l2,536,-0.0004017497703898698
model_602,Episode_Reward/ang_vel_z_l2,537,-0.00039015698712319136
model_602,Episode_Reward/ang_vel_z_l2,538,-0.00041885580867528915
model_602,Episode_Reward/ang_vel_z_l2,539,-0.0004478737246245146
model_602,Episode_Reward/ang_vel_z_l2,540,-0.0004437411844264716
model_602,Episode_Reward/ang_vel_z_l2,541,-0.00045560140279121697
model_602,Episode_Reward/ang_vel_z_l2,542,-0.00045067915925756097
model_602,Episode_Reward/ang_vel_z_l2,543,-0.00048730563139542937
model_602,Episode_Reward/ang_vel_z_l2,544,-0.0004813260748051107
model_602,Episode_Reward/ang_vel_z_l2,545,-0.0004650636110454798
model_602,Episode_Reward/ang_vel_z_l2,546,-0.0004927199333906174
model_602,Episode_Reward/ang_vel_z_l2,547,-0.00046132004354149103
model_602,Episode_Reward/ang_vel_z_l2,548,-0.0004724268219433725
model_602,Episode_Reward/ang_vel_z_l2,549,-0.000455739937024191
model_602,Episode_Reward/ang_vel_z_l2,550,-0.0004980136873200536
model_602,Episode_Reward/ang_vel_z_l2,551,-0.0005271955160424113
model_602,Episode_Reward/ang_vel_z_l2,552,-0.0005583256133832037
model_602,Episode_Reward/ang_vel_z_l2,553,-0.0005615813424810767
model_602,Episode_Reward/ang_vel_z_l2,554,-0.0005542621947824955
model_602,Episode_Reward/ang_vel_z_l2,555,-0.000563956331461668
model_602,Episode_Reward/ang_vel_z_l2,556,-0.0006009279168210924
model_602,Episode_Reward/ang_vel_z_l2,557,-0.0006430374924093485
model_602,Episode_Reward/ang_vel_z_l2,558,-0.0005884418496862054
model_602,Episode_Reward/ang_vel_z_l2,559,-0.000577370694372803
model_602,Episode_Reward/ang_vel_z_l2,560,-0.0005739468615502119
model_602,Episode_Reward/ang_vel_z_l2,561,-0.0005899434327147901
model_602,Episode_Reward/ang_vel_z_l2,562,-0.0005583211896009743
model_602,Episode_Reward/ang_vel_z_l2,563,-0.0006133110146038234
model_602,Episode_Reward/ang_vel_z_l2,564,-0.0005721030756831169
model_602,Episode_Reward/ang_vel_z_l2,565,-0.0005627514328807592
model_602,Episode_Reward/ang_vel_z_l2,566,-0.0005537655670195818
model_602,Episode_Reward/ang_vel_z_l2,567,-0.0005925979930907488
model_602,Episode_Reward/ang_vel_z_l2,568,-0.0006049373769201338
model_602,Episode_Reward/ang_vel_z_l2,569,-0.000591884832829237
model_602,Episode_Reward/ang_vel_z_l2,570,-0.0005932655767537653
model_602,Episode_Reward/ang_vel_z_l2,571,-0.0005432801553979516
model_602,Episode_Reward/ang_vel_z_l2,572,-0.000540112319868058
model_602,Episode_Reward/ang_vel_z_l2,573,-0.0006143915234133601
model_602,Episode_Reward/ang_vel_z_l2,574,-0.0007823673076927662
model_602,Episode_Reward/ang_vel_z_l2,575,-0.0009073095279745758
model_602,Episode_Reward/ang_vel_z_l2,576,-0.0010771253146231174
model_602,Episode_Reward/ang_vel_z_l2,577,-0.001158065744675696
model_602,Episode_Reward/ang_vel_z_l2,578,-0.0011124693555757403
model_602,Episode_Reward/ang_vel_z_l2,579,-0.0011438399087637663
model_602,Episode_Reward/ang_vel_z_l2,580,-0.001290701562538743
model_602,Episode_Reward/ang_vel_z_l2,581,-0.0013063463848084211
model_602,Episode_Reward/ang_vel_z_l2,582,-0.0013391843531280756
model_602,Episode_Reward/ang_vel_z_l2,583,-0.0014595407992601395
model_602,Episode_Reward/ang_vel_z_l2,584,-0.0012486984487622976
model_602,Episode_Reward/ang_vel_z_l2,585,-0.0013179497327655554
model_602,Episode_Reward/ang_vel_z_l2,586,-0.0013107546838000417
model_602,Episode_Reward/ang_vel_z_l2,587,-0.0014310582773759961
model_602,Episode_Reward/ang_vel_z_l2,588,-0.0014880637172609568
model_602,Episode_Reward/ang_vel_z_l2,589,-0.0013488357653841376
model_602,Episode_Reward/ang_vel_z_l2,590,-0.0014885554555803537
model_602,Episode_Reward/ang_vel_z_l2,591,-0.0012727907160297036
model_602,Episode_Reward/ang_vel_z_l2,592,-0.0013805213384330273
model_602,Episode_Reward/ang_vel_z_l2,593,-0.0011549509363248944
model_602,Episode_Reward/ang_vel_z_l2,594,-0.0008938215905800462
model_602,Episode_Reward/ang_vel_z_l2,595,-0.0009720480302348733
model_602,Episode_Reward/ang_vel_z_l2,596,-0.001045332639478147
model_602,Episode_Reward/ang_vel_z_l2,597,-0.0009502318571321666
model_602,Episode_Reward/ang_vel_z_l2,598,-0.0009180507622659206
model_602,Episode_Reward/ang_vel_z_l2,599,-0.0008195069385692477
model_602,Episode_Reward/ang_vel_z_l2,600,-0.0008500755066052079
model_602,Episode_Reward/ang_vel_z_l2,601,-0.0008986557368189096
model_602,Episode_Reward/ang_vel_z_l2,602,-0.0010337653802707791
model_602,Episode_Reward/base_height_exp,483,2.0130155086517334
model_602,Episode_Reward/base_height_exp,484,6.071674823760986
model_602,Episode_Reward/base_height_exp,485,10.172337532043457
model_602,Episode_Reward/base_height_exp,486,14.245004653930664
model_602,Episode_Reward/base_height_exp,487,18.286304473876953
model_602,Episode_Reward/base_height_exp,488,22.38312530517578
model_602,Episode_Reward/base_height_exp,489,26.46686553955078
model_602,Episode_Reward/base_height_exp,490,30.517288208007812
model_602,Episode_Reward/base_height_exp,491,34.588104248046875
model_602,Episode_Reward/base_height_exp,492,37.929073333740234
model_602,Episode_Reward/base_height_exp,493,38.25261688232422
model_602,Episode_Reward/base_height_exp,494,38.24846649169922
model_602,Episode_Reward/base_height_exp,495,38.24066925048828
model_602,Episode_Reward/base_height_exp,496,38.23462677001953
model_602,Episode_Reward/base_height_exp,497,38.21757125854492
model_602,Episode_Reward/base_height_exp,498,38.21051025390625
model_602,Episode_Reward/base_height_exp,499,38.20759582519531
model_602,Episode_Reward/base_height_exp,500,38.206260681152344
model_602,Episode_Reward/base_height_exp,501,38.199462890625
model_602,Episode_Reward/base_height_exp,502,38.20503616333008
model_602,Episode_Reward/base_height_exp,503,38.21257400512695
model_602,Episode_Reward/base_height_exp,504,38.23638153076172
model_602,Episode_Reward/base_height_exp,505,38.25584030151367
model_602,Episode_Reward/base_height_exp,506,38.27616882324219
model_602,Episode_Reward/base_height_exp,507,38.27542495727539
model_602,Episode_Reward/base_height_exp,508,38.278621673583984
model_602,Episode_Reward/base_height_exp,509,38.285465240478516
model_602,Episode_Reward/base_height_exp,510,38.29430389404297
model_602,Episode_Reward/base_height_exp,511,38.29003143310547
model_602,Episode_Reward/base_height_exp,512,38.29780578613281
model_602,Episode_Reward/base_height_exp,513,38.29622268676758
model_602,Episode_Reward/base_height_exp,514,38.31429672241211
model_602,Episode_Reward/base_height_exp,515,38.32383728027344
